y;x
257;1942
264;1928
271;1913
274;1898
278;1880
283;1863
290;1848
295;1830
297;1811
302;1796
309;1783
313;1773
317;1757
321;1740
325;1723
330;1713
337;1699
342;1683
348;1668
354;1652
361;1635
372;1618
381;1604
385;1591
390;1576
394;1557
397;1537
400;1521
403;1507
409;1494
418;1478
426;1460
429;1447
431;1432
433;1415
439;1396
445;1381
448;1365
455;1351
462;1337
465;1325
462;1311
461;1294
464;1269
465;1247
466;1231
469;1217
474;1199
480;1182
480;1170
476;1157
474;1139
473;1117
472;1096
474;1078
477;1065
482;1052
486;1035
483;1019
481;1003
481;985
482;964
483;944
484;927
488;913
492;899
493;885
488;868
482;847
480;825
475;808
474;794
477;780
481;764
486;746
485;730
481;712
477;693
473;673
471;654
471;639
478;625
485;610
487;594
484;576
482;557
481;540
481;522
480;507
482;493
488;477
493;461
496;445
494;430
493;416
491;399
491;380
490;364
494;352
501;340
507;326
511;311
511;293
513;276
515;260
