y;x
765;1114
751;1109
737;1098
728;1086
716;1078
706;1079
689;1081
669;1081
654;1078
646;1077
637;1083
624;1090
612;1093
605;1099
600;1107
595;1116
581;1128
566;1137
554;1141
548;1151
539;1164
528;1172
514;1185
506;1201
496;1213
486;1225
477;1235
471;1245
468;1259
463;1272
455;1283
449;1294
448;1301
452;1314
458;1327
457;1341
455;1352
456;1358
464;1367
468;1378
475;1385
479;1389
487;1393
499;1399
515;1408
528;1418
534;1424
545;1423
560;1423
574;1423
584;1424
593;1422
610;1420
630;1420
644;1417
653;1412
664;1406
679;1402
698;1397
709;1392
718;1385
728;1377
739;1366
750;1357
760;1352
765;1341
