y;x
767;992
721;1042
665;1104
622;1159
591;1194
585;1206
589;1206
581;1212
569;1212
554;1222
529;1236
514;1245
500;1253
482;1264
466;1275
451;1288
432;1302
411;1316
398;1327
387;1341
375;1354
363;1366
354;1374
354;1382
356;1387
357;1395
351;1409
347;1419
345;1429
344;1433
341;1435
336;1437
335;1439
336;1444
334;1453
333;1464
336;1472
335;1482
333;1491
334;1501
333;1512
329;1522
324;1528
322;1540
327;1554
337;1582
355;1626
378;1689
405;1769
433;1854
456;1929
471;1961
474;1958
473;1961
473;1966
473;1977
478;1998
482;2022
486;2046
491;2067
494;2078
500;2085
510;2097
521;2112
528;2129
536;2144
543;2157
554;2173
563;2182
573;2188
581;2194
584;2194
587;2195
590;2196
593;2196
593;2197
592;2196
598;2200
618;2210
653;2228
695;2248
744;2278
