y;x
767;2317
757;2325
742;2328
726;2326
709;2328
692;2334
679;2341
663;2342
648;2344
631;2346
616;2344
602;2338
589;2328
576;2320
563;2315
552;2310
535;2302
518;2293
501;2286
485;2275
472;2264
457;2253
446;2242
439;2234
439;2223
433;2211
428;2202
429;2194
429;2182
431;2169
434;2155
435;2145
438;2140
441;2128
443;2114
447;2106
451;2096
458;2086
469;2075
477;2062
482;2054
489;2048
505;2039
520;2030
531;2022
543;2012
559;2002
576;1994
586;1989
595;1986
614;1982
631;1977
645;1971
662;1969
685;1971
709;1968
728;1962
745;1960
765;1964
